danceability_bucket,energy_bucket,valence_bucket,song_count,avg_popularity
0.9,0.8,0.8,7,62.57
0.3,0.9,0.4,2,62.5
0.5,0.3,0.2,2,62.5
1.0,0.6,0.6,2,62.5
0.7,0.9,0.7,33,62.42
0.8,0.7,0.3,7,62.29
0.8,0.8,0.6,17,62.29
0.6,0.8,0.6,15,62.2
0.4,0.9,0.2,1,62.0
0.6,1.0,0.7,4,62.0
0.7,0.3,0.0,1,62.0
0.8,1.0,0.8,1,62.0
1.0,0.7,0.9,2,62.0
0.7,0.9,0.5,15,61.8
0.5,0.8,0.3,8,61.75
0.8,0.6,0.7,14,61.64
0.8,0.7,0.8,25,61.52
0.7,0.8,1.0,2,61.5
0.6,0.8,0.4,19,61.21
0.7,0.8,0.7,36,61.19
0.3,0.9,0.2,1,61.0
0.4,0.9,0.8,1,61.0
0.7,1.0,0.5,1,61.0
0.9,0.3,0.3,1,61.0
0.9,0.7,0.3,1,61.0
0.7,0.6,0.4,17,60.82
0.6,0.7,0.7,10,60.8
0.5,0.8,0.4,15,60.73
0.4,0.7,0.3,4,60.5
0.8,0.6,0.3,6,60.5
0.6,0.9,0.6,21,60.48
0.6,0.8,0.5,26,60.46
0.6,0.7,0.6,23,60.39
0.8,0.8,0.4,7,60.29
0.8,0.8,0.7,15,60.2
0.8,0.6,0.8,18,60.11
0.8,0.8,0.8,19,60.05
0.3,0.5,0.2,1,60.0
0.5,0.2,0.3,1,60.0
0.5,0.7,0.7,1,60.0
0.5,0.8,0.6,10,60.0
0.6,0.1,0.1,1,60.0
0.8,0.5,0.2,5,60.0
1.0,0.8,0.8,1,60.0
0.4,0.6,0.2,5,59.8
0.7,0.5,0.7,8,59.75
0.8,0.6,0.9,2,59.5
0.9,0.9,0.6,2,59.5
0.8,0.7,0.5,10,59.3
0.4,0.5,0.3,1,59.0
0.6,1.0,0.9,1,59.0
0.8,0.8,0.2,1,59.0
0.7,0.7,0.9,8,58.88
0.4,0.9,0.6,7,58.71
0.7,0.7,0.6,28,58.71
0.7,0.6,0.8,6,58.67
0.8,1.0,1.0,3,58.67
0.7,0.8,0.4,21,58.62
0.6,0.7,0.8,10,58.5
0.9,0.5,0.9,3,58.33
0.7,0.5,0.3,9,58.22
0.9,0.7,0.7,9,58.0
0.9,0.8,0.9,9,57.89
0.6,0.9,0.8,14,57.86
0.9,0.9,0.9,3,57.67
0.7,0.6,0.2,5,57.6
0.7,0.7,0.7,32,57.53
0.8,0.9,0.8,13,57.46
0.3,0.7,0.2,3,57.33
0.6,0.9,0.7,16,57.25
0.3,0.6,0.2,1,57.0
0.4,0.6,0.4,1,57.0
0.4,1.0,0.2,1,57.0
0.6,0.5,0.4,8,57.0
0.7,0.7,0.8,19,57.0
0.8,0.8,0.5,7,57.0
0.6,0.6,0.7,7,56.86
0.6,0.4,0.4,4,56.75
0.8,0.9,1.0,11,56.73
0.5,0.7,0.2,9,56.67
0.7,0.8,0.3,7,56.57
0.5,0.7,0.3,10,56.5
0.5,0.8,0.9,2,56.5
0.9,0.6,0.8,2,56.5
0.7,0.9,0.8,31,56.23
0.8,0.5,0.7,5,56.2
0.8,0.5,0.5,6,56.17
0.5,0.8,0.8,1,56.0
0.8,0.4,0.7,1,56.0
