artist,song,year,decade,genre,popularity,danceability,energy,valence,tempo,loudness_norm,hit_formula_score
Enrique Iglesias,Bailando - Spanish Version,2014,2010s,"pop, latin",66,0.718,0.792,0.96,90.949,0.8397568929736139,0.7768
Sophie Ellis-Bextor,Murder On The Dancefloor,2002,2000s,"pop, Dance/Electronic",62,0.734,0.848,0.863,117.31,0.7524953058602628,0.7763
N.E.R.D,She Wants To Move,2004,2000s,hip hop,57,0.766,0.851,0.8,115.012,0.7749283526040123,0.7763
Jennifer Lopez,Dance Again,2012,2010s,"hip hop, pop, R&B",0,0.797,0.867,0.716,127.974,0.7546200217412787,0.7762
Galantis,No Money,2016,2010s,"pop, Dance/Electronic",67,0.671,0.916,0.803,126.01,0.8152979543433145,0.7762
JAY-Z,Empire State Of Mind,2009,2000s,hip hop,82,0.491,0.956,0.811,173.585,0.9376420594920446,0.7759
Migos,Slippery (feat. Gucci Mane),2017,2010s,"hip hop, pop",68,0.92,0.675,0.749,141.967,0.733916394900682,0.7756
Mary J. Blige,Family Affair,2001,2000s,"pop, R&B",76,0.911,0.551,0.969,92.887,0.8283427216128075,0.7755
Rob Thomas,Lonely No More,2005,2000s,"pop, Folk/Acoustic",56,0.551,0.896,0.858,171.79,0.8578910959580985,0.7755
AJ Tracey,Ladbroke Grove,2019,2010s,"hip hop, Dance/Electronic",69,0.903,0.839,0.727,133.986,0.546842573376816,0.7751
Eminem,The Real Slim Shady,2000,2000s,hip hop,86,0.949,0.661,0.76,104.504,0.803933194979741,0.7748
Taylor Swift,Shake It Off,2014,2010s,pop,79,0.647,0.8,0.942,160.078,0.747603518134203,0.7747
Ludacris,Rollout (My Business),2001,2000s,"hip hop, pop",60,0.921,0.668,0.892,131.059,0.5822709753928254,0.7746
Akon,Right Now (Na Na Na),2008,2000s,pop,69,0.83,0.857,0.607,137.982,0.8064037948413875,0.7746
Basement Jaxx,Romeo,2001,2000s,"pop, Dance/Electronic",0,0.713,0.829,0.844,126.853,0.8075402707777448,0.7745
Calvin Harris,Thinking About You (feat. Ayah Marar),2012,2010s,"hip hop, pop, Dance/Electronic",65,0.725,0.874,0.748,127.985,0.8300721415159601,0.7741
Infernal,From Paris to Berlin,2004,2000s,pop,57,0.741,0.869,0.839,126.069,0.6907797213163357,0.774
Robbie Williams,Tripping,2005,2000s,"pop, rock",58,0.666,0.922,0.828,118.014,0.7933590275718944,0.7739
B2K,Uh Huh,2002,2000s,"hip hop, pop, R&B",49,0.855,0.681,0.908,99.699,0.7688012649471292,0.7735
Kelis,Milkshake,2003,2000s,"pop, R&B, Dance/Electronic",68,0.881,0.774,0.759,112.968,0.7138057120268801,0.7732
