decade,artist,song,popularity,rank_in_decade
2010s,P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",68,523
2010s,Sia,The Greatest (feat. Kendrick Lamar),68,523
2010s,Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),68,523
2010s,Migos,Slippery (feat. Gucci Mane),68,523
2010s,Cheat Codes,No Promises (feat. Demi Lovato),68,523
2010s,YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",68,523
2010s,Drake,I'm Upset,68,523
2010s,Offset,Clout (feat. Cardi B),68,523
2010s,Maroon 5,Misery,67,554
2010s,Usher,More - RedOne Jimmy Joker Remix,67,554
2010s,LMFAO,Sexy And I Know It,67,554
2010s,Keri Hilson,Pretty Girl Rock,67,554
2010s,Lady Gaga,The Edge Of Glory,67,554
2010s,LMFAO,Sexy And I Know It,67,554
2010s,Kendrick Lamar,m.A.A.d city,67,554
2010s,Justin Bieber,As Long As You Love Me,67,554
2010s,Cher Lloyd,Want U Back,67,554
2010s,Justin Timberlake,Suit & Tie (feat. Jay-Z),67,554
2010s,Iggy Azalea,Black Widow,67,554
2010s,Oliver Heldens,Gecko (Overdrive) - Radio Edit,67,554
2010s,Duke Dumont,I Got U,67,554
2010s,Chris Brown,New Flame (feat. Usher & Rick Ross),67,554
2010s,Lana Del Rey,High By The Beach,67,554
2010s,Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",67,554
2010s,Jonas Blue,Fast Car,67,554
2010s,Sia,Cheap Thrills (feat. Sean Paul),67,554
2010s,Desiigner,Tiimmy Turner,67,554
2010s,Galantis,No Money,67,554
2010s,Beyoncé,Sorry,67,554
2010s,Zara Larsson,Ain't My Fault,67,554
2010s,Yo Gotti,Rake It Up (feat. Nicki Minaj),67,554
2010s,David Guetta,2U (feat. Justin Bieber),67,554
2010s,Rag'n'Bone Man,Skin,67,554
2010s,EO,German,67,554
2010s,Charlie Puth,Done for Me (feat. Kehlani),67,554
2010s,DJ Khaled,No Brainer,67,554
2010s,Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,66,582
2010s,Edward Maya,Stereo Love - Radio Edit,66,582
2010s,Cali Swag District,Teach Me How to Dougie,66,582
2010s,Rihanna,What's My Name?,66,582
2010s,Jason Derulo,Ridin' Solo,66,582
2010s,Britney Spears,I Wanna Go,66,582
2010s,Edward Maya,Stereo Love - Radio Edit,66,582
2010s,Rihanna,What's My Name?,66,582
2010s,David Guetta,She Wolf (Falling to Pieces) [feat. Sia],66,582
2010s,Usher,Scream,66,582
2010s,Calvin Harris,Let's Go (feat. Ne-Yo),66,582
2010s,Coldplay,Princess of China,66,582
2010s,Lana Del Rey,Ride,66,582
2010s,Eminem,Berzerk,66,582
2010s,One Direction,One Way or Another (Teenage Kicks),66,582
2010s,Rudimental,Waiting All Night (feat. Ella Eyre),66,582
2010s,Armin van Buuren,This Is What It Feels Like,66,582
2010s,Maroon 5,Daylight,66,582
2010s,Jason Derulo,Wiggle (feat. Snoop Dogg),66,582
2010s,Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,66,582
2010s,Nicki Minaj,Anaconda,66,582
2010s,Tove Lo,Talking Body,66,582
2010s,Enrique Iglesias,Bailando - Spanish Version,66,582
2010s,Natalie La Rose,Somebody,66,582
2010s,Deorro,Five More Hours,66,582
2010s,Tove Lo,Talking Body,66,582
2010s,Sam Smith,"Writing's On The Wall - From ""Spectre"" Soundtrack",66,582
2010s,Sigala,Easy Love,66,582
2010s,Alessia Cara,Here,66,582
2010s,MØ,Final Song,66,582
2010s,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,66,582
2010s,Ed Sheeran,Take Me Back to London (feat. Stormzy),66,582
2010s,Jason Derulo,In My Head,65,614
2010s,Taylor Swift,Back To December,65,614
2010s,B.o.B,Magic (feat. Rivers Cuomo),65,614
2010s,Katy Perry,E.T.,65,614
2010s,Nickelback,When We Stand Together,65,614
2010s,Britney Spears,Till the World Ends,65,614
2010s,Kelly Rowland,Motivation,65,614
2010s,Swedish House Mafia,Save The World,65,614
2010s,Red Hot Chili Peppers,The Adventures of Rain Dance Maggie,65,614
2010s,David Guetta,Turn Me On (feat. Nicki Minaj),65,614
2010s,Emeli Sandé,"Read All About It, Pt. III",65,614
2010s,Katy Perry,Wide Awake,65,614
2010s,Drake,Started From the Bottom,65,614
2010s,Calvin Harris,Thinking About You (feat. Ayah Marar),65,614
2010s,Ariana Grande,The Way,65,614
2010s,Rita Ora,I Will Never Let You Down,65,614
2010s,Philip George,Wish You Were Mine - Radio Edit,65,614
2010s,Dua Lipa,Hotter Than Hell,65,614
2010s,Bastille,Good Grief,65,614
2010s,Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",65,614
2010s,MK,17,65,614
2010s,Camila Cabello,Liar,65,614
2010s,Neon Trees,Animal,64,636
2010s,The Band Perry,If I Die Young,64,636
2010s,James Morrison,I Won't Let You Go,64,636
2010s,The Band Perry,If I Die Young,64,636
2010s,Nicki Minaj,Pound The Alarm,64,636
2010s,Chris Brown,Turn Up the Music,64,636
2010s,Frank Ocean,Lost,64,636
2010s,Rudimental,Feel the Love (feat. John Newman),64,636
2010s,Pitbull,Don't Stop the Party (feat. TJR),64,636
2010s,Ciara,Body Party,64,636
2010s,Kiesza,Hideaway,64,636
2010s,G.R.L.,Ugly Heart,64,636
2010s,Demi Lovato,Confident,64,636
2010s,Selena Gomez,Kill Em With Kindness,64,636
2010s,Selena Gomez,The Heart Wants What It Wants,64,636
2010s,Fitz and The Tantrums,HandClap,64,636
2010s,Lil Pump,Gucci Gang,64,636
2010s,Migos,T-Shirt,64,636
2010s,OneRepublic,Rich Love (with Seeb),64,636
2010s,Jason Derulo,Tip Toe (feat. French Montana),64,636
2010s,Charlie Puth,The Way I Am,64,636
2010s,Stormzy,Vossi Bop,64,636
2010s,Wiley,Boasty (feat. Idris Elba),64,636
2010s,Sigala,Wish You Well,64,636
2010s,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),64,636
2010s,DJ Fresh,Gold Dust - Radio Edit,63,661
2010s,Swedish House Mafia,One (Your Name) - Radio Edit,63,661
2010s,Enrique Iglesias,I Like It,63,661
2010s,Ludacris,How Low,63,661
2010s,Example,Kickstarts,63,661
2010s,Enrique Iglesias,Tonight (I'm Fuckin' You),63,661
2010s,Jason Derulo,Don't Wanna Go Home,63,661
2010s,Wiz Khalifa,Roll Up,63,661
2010s,Lady A,Just A Kiss,63,661
2010s,Kendrick Lamar,Swimming Pools (Drank) - Extended Version,63,661
2010s,Justin Bieber,Boyfriend,63,661
2010s,Ellie Goulding,Lights - Single Version,63,661
2010s,Carrie Underwood,Blown Away,63,661
2010s,Ylvis,The Fox (What Does the Fox Say?),63,661
2010s,Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,63,661
2010s,Ella Henderson,Ghost,63,661
2010s,KALEO,Way down We Go,63,661
2010s,Drake,Pop Style,63,661
2010s,Steve Aoki,Just Hold On,63,661
2010s,Hilltop Hoods,1955,63,661
2010s,Kent Jones,Don't Mind,63,661
2010s,G-Eazy,Good Life (with G-Eazy & Kehlani),63,661
2010s,6ix9ine,GUMMO,63,661
2010s,Rita Ora,Anywhere,63,661
2010s,Ed Sheeran,Antisocial (with Travis Scott),63,661
2010s,Joel Corry,Sorry,63,661
2010s,David Guetta,Gettin' Over You (feat. Fergie & LMFAO),62,687
2010s,3OH!3,My First Kiss (feat. Ke$ha),62,687
2010s,Plan B,She Said,62,687
2010s,Labrinth,Earthquake (feat. Tinie Tempah),62,687
2010s,Nicole Scherzinger,Don't Hold Your Breath,62,687
2010s,Calvin Harris,Bounce (feat. Kelis) - Radio Edit,62,687
2010s,will.i.am,This Is Love,62,687
2010s,Wiz Khalifa,"Work Hard, Play Hard",62,687
2010s,Calvin Harris,We'll Be Coming Back (feat. Example),62,687
2010s,Chris Brown,Don't Wake Me Up,62,687
2010s,JAY-Z,Holy Grail,62,687
2010s,Trey Songz,Na Na,62,687
2010s,OneRepublic,Counting Stars,62,687
2010s,Sigma,Nobody To Love - Radio Edit,62,687
2010s,Sam Smith,Money On My Mind,62,687
2010s,Trey Songz,Na Na,62,687
2010s,Tinie Tempah,Girls Like (feat. Zara Larsson),62,687
2010s,Charlie Puth,Dangerously,62,687
2010s,PARTYNEXTDOOR,Not Nice,62,687
2010s,Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),62,687
2010s,Big Shaq,Man's Not Hot,62,687
2010s,Liam Payne,For You (Fifty Shades Freed) (& Rita Ora),62,687
2010s,Luis Fonsi,Échame La Culpa,62,687
2010s,Kesha,Blah Blah Blah (feat. 3OH!3),61,710
2010s,The Saturdays,Higher,61,710
2010s,Taio Cruz,Higher,61,710
2010s,Olly Murs,Heart Skips a Beat (feat. Rizzle Kicks),61,710
2010s,Far East Movement,Rocketeer,61,710
2010s,Mac Miller,Donald Trump,61,710
2010s,Tyga,Rack City,61,710
2010s,ScHoolboy Q,Hands on the Wheel (feat. Asap Rocky),61,710
2010s,Gym Class Heroes,Ass Back Home (feat. Neon Hitch),61,710
2010s,Calvin Harris,Drinking from the Bottle (feat. Tinie Tempah),61,710
2010s,Wale,Bad (feat. Rihanna) - Remix,61,710
2010s,Bastille,Of The Night,61,710
2010s,The Saturdays,What About Us,61,710
2010s,O.T. Genasis,CoCo,61,710
2010s,Gorgon City,Ready For Your Love,61,710
2010s,Taylor Swift,Style,61,710
2010s,Dua Lipa,New Rules,61,710
2010s,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,61,710
2010s,The Vamps,Middle Of The Night,61,710
2010s,Young T & Bugsey,Strike a Pose (feat. Aitch),61,710
2010s,Dizzee Rascal,Holiday,60,730
2010s,Usher,Hey Daddy (Daddy's Home),60,730
2010s,Chase & Status,Blind Faith,60,730
2010s,P!nk,F**kin' Perfect,60,730
2010s,Charlene Soraia,Wherever You Will Go,60,730
2010s,Alex Clare,Too Close,60,730
2010s,Flo Rida,I Cry,60,730
2010s,Katy Perry,This Is How We Do,60,730
2010s,Clean Bandit,Tears (feat. Louisa Johnson),60,730
2010s,B Young,Jumanji,60,730
2010s,Jax Jones,All Day And Night,60,730
2010s,Khia,"My Neck, My Back (Lick It)",59,741
2010s,T2,Heartbroken - Edit,59,741
2010s,Kelly Rowland,Commander,59,741
2010s,Rizzle Kicks,Down With The Trumpets,59,741
2010s,Taylor Swift,I Knew You Were Trouble.,59,741
2010s,Olly Murs,Dear Darlin',59,741
2010s,Christina Perri,human,59,741
2010s,OneRepublic,Love Runs Out,59,741
2010s,Lemaitre,Closer,59,741
2010s,ZAYN,PILLOWTALK,59,741
2010s,Cardi B,Bodak Yellow,59,741
2010s,David Guetta,Flames,59,741
2010s,DJ Ötzi,Hey Baby (Radio Mix),58,753
2010s,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),58,753
2010s,DJ Fresh,Hot Right Now (feat. RITA ORA) - Radio Edit,58,753
2010s,Tyga,Faded,58,753
2010s,Naughty Boy,La La La,58,753
2010s,Selena Gomez,The Heart Wants What It Wants,58,753
2010s,Jax Jones,Breathe,58,753
2010s,Jax Jones,Breathe,58,753
2010s,Ne-Yo,Beautiful Monster,57,761
2010s,Tinie Tempah,Written in the Stars (feat. Eric Turner),57,761
2010s,Take That,The Flood,57,761
2010s,Drake,Over,57,761
2010s,Jessie J,Do It Like A Dude,57,761
2010s,Gotye,Somebody That I Used To Know,57,761
2010s,Baauer,Harlem Shake,57,761
2010s,Nelly,Hey Porsche,57,761
2010s,Florida Georgia Line,Cruise,57,761
2010s,Anne-Marie,Alarm,57,761
2010s,Anne-Marie,Ciao Adios,57,761
2010s,Zara Larsson,I Would Like,57,761
2010s,Zay Hilfigerrr,Juju on That Beat (TZ Anthem),57,761
2010s,Doja Cat,Juicy,57,761
2010s,Ashley O,On A Roll,57,761
2010s,Drake,Find Your Love,56,776
2010s,Jason Derulo,Talk Dirty (feat. 2 Chainz),56,776
2010s,Blake Shelton,Sure Be Cool If You Did,56,776
2010s,Jason Derulo,Talk Dirty (feat. 2 Chainz),56,776
2010s,Banx & Ranx,Answerphone (feat. Yxng Bane),56,776
2010s,Cashmere Cat,Miss You (with Major Lazer & Tory Lanez),56,776
2010s,DJ Fresh,Louder (feat. Sian Evans) - Radio Edit,55,782
2010s,Robin Thicke,Blurred Lines,55,782
2010s,Omarion,Post to Be (feat. Chris Brown & Jhene Aiko),55,782
2010s,SAYGRACE,You Don't Own Me (feat. G-Eazy),55,782
2010s,Fetty Wap,My Way (feat. Monty),55,782
2010s,Years & Years,Shine,55,782
2010s,99 Souls,The Girl Is Mine,55,782
2010s,Kiiara,Gold,55,782
2010s,Drake,Best I Ever Had,54,790
2010s,Swedish House Mafia,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,54,790
2010s,Ellie Goulding,Starry Eyed,54,790
2010s,Disclosure,White Noise,54,790
2010s,Taylor Swift,Bad Blood,54,790
2010s,M.O,Bad Vibe,54,790
2010s,Faithless,We Come 1 - Radio Edit,53,796
2010s,Tinie Tempah,Pass Out,53,796
2010s,Chris Brown,Beautiful People,53,796
2010s,Jason Aldean,Dirt Road Anthem,53,796
2010s,Avicii,Silhouettes - Original Radio Edit,53,796
2010s,Lana Del Rey,Born To Die,53,796
2010s,Jason Derulo,Trumpets,53,796
2010s,Nicki Minaj,Bed Of Lies,53,796
2010s,Flume,Say It,53,796
2010s,J Balvin,Mi Gente,53,796
2010s,Avicii,Lonely Together (feat. Rita Ora),53,796
2010s,Juice WRLD,Robbery,53,796
2010s,Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,52,808
2010s,3 Doors Down,Let Me Go,52,808
2010s,Scouting For Girls,This Ain't a Love Song,52,808
2010s,DEV,In The Dark,52,808
2010s,Alesso,Heroes (we could be),52,808
2010s,DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",51,813
2010s,Lykke Li,I Follow Rivers - The Magician Remix,51,813
2010s,Icona Pop,I Love It,51,813
2010s,Nicky Jam,El Perdón - Forgiveness,51,813
2010s,Alok,Hear Me Now,51,813
2010s,Illy,Papercuts (feat. Vera Blue),51,813
2010s,Kodak Black,Tunnel Vision,51,813
2010s,Jonas Blue,Mama,51,813
2010s,Blake Shelton,Honey Bee,50,821
2010s,MARINA,How to Be a Heartbreaker,50,821
2010s,Jason Derulo,The Other Side,50,821
2010s,David Guetta,Lovers on the Sun (feat. Sam Martin),50,821
2010s,Klingande,Jubel - Radio Edit,50,821
2010s,Girls Aloud,Something Kinda Ooooh,49,826
2010s,Sak Noel,Loca People - Radio Edit,49,826
2010s,ZHU,Faded,49,826
2010s,Charli XCX,Boom Clap,49,826
2010s,Flo Rida,GDFR (feat. Sage the Gemini & Lookas),49,826
2010s,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,49,826
2010s,Unk,Walk It Out,48,832
2010s,Mann,Buzzin Remix,48,832
2010s,Chip,Champion (feat. Chris Brown),48,832
2010s,Rita Ora,How We Do (Party),48,832
2010s,Birdy,Wings,48,832
2010s,Peking Duk,High (feat. Nicole Millar),48,832
2010s,Martin Solveig,Intoxicated - New Radio Mix,48,832
2010s,Starley,Call on Me - Ryan Riback Remix,48,832
2010s,Chicane,Don't Give Up,47,840
2010s,Scooter,Nessaja,47,840
2010s,Creed,One Last Breath - Radio Version,47,840
2010s,Lil' Kim,Magic Stick,47,840
2010s,David Guetta,Bang My Head (feat. Sia & Fetty Wap),47,840
2010s,Hayden James,NUMB,47,840
2010s,Scooter,The Logical Song,46,846
2010s,P!nk,Sober,46,846
2010s,Duck Sauce,Barbra Streisand - Radio Edit,46,846
2010s,Matt Cardle,When We Collide,46,846
2010s,Rita Ora,R.I.P. (feat. Tinie Tempah),46,846
2010s,Adam Lambert,Ghost Town,46,846
2010s,Sigala,Sweet Lovin' - Radio Edit,46,846
2010s,Daughtry,It's Not Over,45,853
2010s,David Guetta,Bad (feat. Vassy) - Radio Edit,45,853
2010s,MNEK,Never Forget You,45,853
2010s,Samantha Mumba,Gotta Tell You,43,856
2010s,Liberty X,Just A Little,43,856
2010s,Ida Corr,Let Me Think About It,43,856
2010s,INNA,Hot - Play & Win Radio Version,42,859
2010s,Example,Changed the Way You Kiss Me - Radio Edit,42,859
2010s,6ix9ine,FEFE,42,859
2010s,Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),40,862
2010s,Blazin' Squad,Crossroads - Radio Edit,40,862
2010s,Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,39,864
2010s,JLS,Everybody in Love,39,864
2010s,Professor Green,Read All About It,39,864
2010s,Dizzee Rascal,Bonkers,38,867
2010s,Hinder,Lips Of An Angel,35,868
2010s,Shontelle,Impossible,35,868
2010s,BTS,Boy With Luv (feat. Halsey),35,868
2010s,Kelly Rowland,Work,34,871
2010s,Lost Frequencies,Are You With Me - Radio Edit,33,872
2010s,3OH!3,Starstrukk,32,873
2010s,K-Ci & JoJo,Crazy,30,874
2010s,Hinder,Better Than Me,30,874
2010s,Duke Dumont,Need U (100%) [feat. A*M*E] - Radio Edit,27,876
2010s,Usher,Pop Ya Collar - Radio Edit,26,877
2010s,Calvin Harris,Summer,21,878
2010s,The Wanted,All Time Low,18,879
2010s,Lorde,Homemade Dynamite - REMIX,8,880
2010s,Ava Max,Sweet but Psycho,7,881
2010s,Avicii,Wake Me Up,6,882
2010s,Adele,Someone Like You,4,883
2010s,blackbear,do re mi,4,883
2010s,Ava Max,So Am I,4,883
2010s,Ariana Grande,Into You,3,886
2010s,Adele,Rolling in the Deep,2,887
2010s,Adele,Set Fire to the Rain,2,887
2010s,AWOLNATION,Sail,2,887
2010s,Mr. Probz,Waves - Robin Schulz Radio Edit,2,887
2010s,Avicii,Hey Brother,2,887
2010s,Lauv,i'm so tired...,2,887
2010s,Gigi D'Agostino,L'Amour Toujours,1,893
2010s,Guru Josh Project,Infinity 2008,1,893
2010s,Yolanda Be Cool,We No Speak Americano (JT Radio Edit),1,893
2010s,Aloe Blacc,I Need A Dollar,1,893
2010s,Lil Wayne,6 Foot 7 Foot,1,893
2010s,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),1,893
2010s,Bingo Players,Get Up (Rattle) - Vocal Edit,1,893
2010s,Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)",1,893
2010s,Little Mix,Black Magic,1,893
2010s,Adele,Hello,1,893
2010s,Jonas Blue,Fast Car,1,893
2010s,Daya,"Sit Still, Look Pretty",1,893
2010s,Little Mix,Shout Out to My Ex,1,893
2010s,Camila Cabello,Havana (feat. Young Thug),1,893
2010s,Imagine Dragons,Thunder,1,893
2010s,Jax Jones,You Don't Know Me - Radio Edit,1,893
2010s,Imagine Dragons,Believer,1,893
2010s,Liam Payne,Strip That Down,1,893
2010s,Reik,Me Niego (feat. Ozuna & Wisin),1,893
2010s,BLACKPINK,Kill This Love,1,893
2010s,Blueface,Thotiana,1,893
2010s,5 Seconds of Summer,Easier,1,893
2010s,Post Malone,Goodbyes (Feat. Young Thug),1,893
2010s,Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),0,916
2010s,DB Boulevard,Point Of View - Radio Edit,0,916
2010s,Aaliyah,Rock The Boat,0,916
2010s,Cascada,Everytime We Touch - Radio Edit,0,916
2010s,Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,0,916
2010s,Lucenzo,Danza Kuduro (feat. Don Omar),0,916
2010s,Miley Cyrus,Can't Be Tamed,0,916
2010s,Trey Songz,Bottoms Up (feat. Nicki Minaj),0,916
2010s,Tim Berg,Seek Bromance - Avicii’s Vocal Edit,0,916
2010s,Two Door Cinema Club,What You Know,0,916
2010s,Robyn,Dancing On My Own,0,916
2010s,Alexandra Stan,Mr. Saxobeat,0,916
2010s,Nicki Minaj,Super Bass,0,916
2010s,Lil Wayne,How To Love,0,916
2010s,Olly Murs,Troublemaker (feat. Flo Rida),0,916
2010s,Asaf Avidan & the Mojos,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],0,916
2010s,Azealia Banks,212,0,916
2010s,Michel Teló,Ai Se Eu Te Pego - Live,0,916
2010s,Otto Knows,Million Voices - Radio Edit,0,916
2010s,Jennifer Lopez,Dance Again,0,916
2010s,Grimes,Oblivion,0,916
2010s,Adele,Rumour Has It,0,916
2010s,Alesso,Years - ラジオ・エディット,0,916
2010s,Guy Sebastian,Battle Scars (feat. Lupe Fiasco),0,916
2010s,Kesha,C'Mon,0,916
2010s,One Direction,Live While We're Young,0,916
2010s,Little Mix,Wings,0,916
2010s,Stromae,Papaoutai,0,916
2010s,Martin Garrix,Animals - Radio Edit,0,916
2010s,Britney Spears,Work B**ch,0,916
2010s,Capital Cities,Safe And Sound,0,916
2010s,Kanye West,Black Skinhead,0,916
2010s,Lorde,Team,0,916
2010s,Storm Queen,Look Right Through - MK Vocal Edit,0,916
2010s,Katy Perry,Unconditionally,0,916
2010s,Zedd,Clarity,0,916
2010s,Chris Brown,Fine China,0,916
2010s,J. Cole,Power Trip (feat. Miguel),0,916
2010s,James Blunt,Bonfire Heart,0,916
2010s,Childish Gambino,3005,0,916
2010s,Avril Lavigne,Here's to Never Growing Up,0,916
2010s,ScHoolboy Q,Collard Greens,0,916
2010s,Maroon 5,Maps,0,916
2010s,ScHoolboy Q,Man Of The Year,0,916
2010s,The Chainsmokers,#SELFIE - Original Mix,0,916
2010s,Ariana Grande,Break Free,0,916
2010s,Olly Murs,Up (feat. Demi Lovato),0,916
2010s,Tiësto,Red Lights,0,916
2010s,Tiësto,Wasted,0,916
2010s,Maroon 5,Sugar,0,916
2010s,Sheppard,Geronimo,0,916
2010s,Olly Murs,Wrapped Up (feat. Travie McCoy),0,916
2010s,Nick Jonas,Jealous - Remix,0,916
2010s,Demi Lovato,Cool for the Summer,0,916
2010s,The Weeknd,In The Night,0,916
2010s,Zara Larsson,Lush Life,0,916
2010s,Years & Years,King,0,916
2010s,Silentó,Watch Me (Whip / Nae Nae),0,916
2010s,Selena Gomez,Good For You,0,916
2010s,Alessia Cara,Here,0,916
2010s,Drake,Jumpman,0,916
2010s,Ellie Goulding,On My Mind,0,916
2010s,Zedd,I Want You To Know,0,916
2010s,BØRNS,Electric Love,0,916
2010s,The Weeknd,Starboy,0,916
2010s,Justin Bieber,Love Yourself,0,916
2010s,Astrid S,Hurts So Good,0,916
2010s,Cheat Codes,Sex,0,916
2010s,Tove Lo,Cool Girl,0,916
2010s,Ariana Grande,Side To Side,0,916
2010s,Ariana Grande,Dangerous Woman,0,916
2010s,AlunaGeorge,I'm In Control,0,916
2010s,Drake,Hotline Bling,0,916
2010s,Kungs,This Girl - Kungs Vs. Cookin' On 3 Burners,0,916
2010s,Kygo,Stole the Show,0,916
2010s,DJ Snake,Middle,0,916
2010s,Jonas Blue,Perfect Strangers,0,916
2010s,Major Lazer,Cold Water (feat. Justin Bieber & MØ),0,916
2010s,Tory Lanez,LUV,0,916
2010s,Flume,Never Be Like You,0,916
2010s,The Lumineers,Ophelia,0,916
2010s,Luis Fonsi,Despacito (Featuring Daddy Yankee),0,916
2010s,G-Eazy,Him & I,0,916
2010s,Maroon 5,Cold (feat. Future),0,916
2010s,Axwell /\ Ingrosso,More Than You Know,0,916
2010s,Travis Scott,BUTTERFLY EFFECT,0,916
2010s,G-Eazy,No Limit,0,916
2010s,Kendrick Lamar,HUMBLE.,0,916
2010s,Charlie Puth,Attention,0,916
2010s,Kendrick Lamar,DNA.,0,916
2010s,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),0,916
2010s,Martin Jensen,Solo Dance,0,916
2010s,Shawn Mendes,There's Nothing Holdin' Me Back,0,916
2010s,Clean Bandit,Symphony (feat. Zara Larsson),0,916
2010s,Drake,Passionfruit,0,916
2010s,Justin Bieber,Friends (with BloodPop®),0,916
2010s,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0,916
2010s,AJR,Weak,0,916
2010s,Lana Del Rey,Lust for Life (with The Weeknd),0,916
2010s,CNCO,Reggaetón Lento (Remix),0,916
2010s,Shawn Mendes,Mercy,0,916
2010s,Loud Luxury,Body (feat. brando),0,916
2010s,NLE Choppa,Shotta Flow (feat. Blueface) [Remix],0,916
2010s,Mabel,Mad Love,0,916
2020s,NSG,Options,57,1
2020s,t.A.T.u.,All The Things She Said,39,2
2020s,Will Smith,Switch,34,3
